Application Name,Application ID
"('ilns.ilan.net.il.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('ns1.ns.il.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('sns-pb.isc.org.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('g.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('i.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('d.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('j.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('l.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('m.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('e.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('h.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('a.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('k.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('f.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('c0.org.afilias-nst.info.', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('a2.org.afilias-nst.info.', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('d0.org.afilias-nst.org.', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('b0.org.afilias-nst.org.', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('b2.org.afilias-nst.org.', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('a0.org.afilias-nst.info.', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('c0.org.afilias-nst.info.', 'python.org')","{'ns1.p11.dynect.net.', 'ns3.p11.dynect.net.', 'ns2.p11.dynect.net.', 'ns4.p11.dynect.net.'}"
,
"('a2.org.afilias-nst.info.', 'python.org')","{'ns1.p11.dynect.net.', 'ns3.p11.dynect.net.', 'ns2.p11.dynect.net.', 'ns4.p11.dynect.net.'}"
,
"('d0.org.afilias-nst.org.', 'python.org')","{'ns1.p11.dynect.net.', 'ns3.p11.dynect.net.', 'ns2.p11.dynect.net.', 'ns4.p11.dynect.net.'}"
,
"('b0.org.afilias-nst.org.', 'python.org')","{'ns1.p11.dynect.net.', 'ns3.p11.dynect.net.', 'ns2.p11.dynect.net.', 'ns4.p11.dynect.net.'}"
,
"('b2.org.afilias-nst.org.', 'python.org')","{'ns1.p11.dynect.net.', 'ns3.p11.dynect.net.', 'ns2.p11.dynect.net.', 'ns4.p11.dynect.net.'}"
,
"('a0.org.afilias-nst.info.', 'python.org')","{'ns1.p11.dynect.net.', 'ns3.p11.dynect.net.', 'ns2.p11.dynect.net.', 'ns4.p11.dynect.net.'}"
,
"('nsa.ns.il.', 'ac.il')","{'lookup.iucc.ac.il.', 'nsa.ns.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns3.ns.il.', 'ac.il')","{'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsa.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('lookup.iucc.ac.il.', 'ac.il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nsb.ns.il.', 'ac.il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns2.ns.il.', 'ac.il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nse.ns.il.', 'ac.il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ilns.ilan.net.il.', 'ac.il')","{'lookup.iucc.ac.il.', 'nsa.ns.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns1.ns.il.', 'ac.il')","{'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsa.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('sns-pb.isc.org.', 'ac.il')","{'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsa.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nsa.ns.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay4.huji.ac.il.', 'ns.openu.ac.il.', 'relay2.huji.ac.il.'}"
,
"('ns3.ns.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay2.huji.ac.il.', 'ns.openu.ac.il.', 'relay4.huji.ac.il.'}"
,
"('lookup.iucc.ac.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay4.huji.ac.il.', 'ns.openu.ac.il.', 'relay2.huji.ac.il.'}"
,
"('nsb.ns.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay4.huji.ac.il.', 'ns.openu.ac.il.', 'relay2.huji.ac.il.'}"
,
"('ns2.ns.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay4.huji.ac.il.', 'ns.openu.ac.il.', 'relay2.huji.ac.il.'}"
,
"('nse.ns.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay4.huji.ac.il.', 'ns.openu.ac.il.', 'relay2.huji.ac.il.'}"
,
"('ilns.ilan.net.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay2.huji.ac.il.', 'ns.openu.ac.il.', 'relay4.huji.ac.il.'}"
,
"('ns1.ns.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay4.huji.ac.il.', 'ns.openu.ac.il.', 'relay2.huji.ac.il.'}"
,
"('sns-pb.isc.org.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay4.huji.ac.il.', 'ns.openu.ac.il.', 'relay2.huji.ac.il.'}"
,
"('relay3.huji.ac.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay2.huji.ac.il.', 'ns.openu.ac.il.', 'relay4.huji.ac.il.'}"
,
"('relay2.huji.ac.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay2.huji.ac.il.', 'ns.openu.ac.il.', 'relay4.huji.ac.il.'}"
,
"('relay4.huji.ac.il.', 'huji.ac.il')","{'relay3.huji.ac.il.', 'relay2.huji.ac.il.', 'ns.openu.ac.il.', 'relay4.huji.ac.il.'}"
,
"('relay3.huji.ac.il.', 'cs.huji.ac.il')","{'ns.openu.ac.il.', 'e-shuldig.cs.huji.ac.il.', 'relay4.huji.ac.il.', 'relay3.huji.ac.il.', 'relay2.huji.ac.il.'}"
,
"('relay2.huji.ac.il.', 'cs.huji.ac.il')","{'ns.openu.ac.il.', 'e-shuldig.cs.huji.ac.il.', 'relay4.huji.ac.il.', 'relay3.huji.ac.il.', 'relay2.huji.ac.il.'}"
,
"('relay4.huji.ac.il.', 'cs.huji.ac.il')","{'ns.openu.ac.il.', 'e-shuldig.cs.huji.ac.il.', 'relay4.huji.ac.il.', 'relay3.huji.ac.il.', 'relay2.huji.ac.il.'}"
,
"('e-shuldig.cs.huji.ac.il.', 'cs.huji.ac.il')","{'ns.openu.ac.il.', 'e-shuldig.cs.huji.ac.il.', 'relay4.huji.ac.il.', 'relay3.huji.ac.il.', 'relay2.huji.ac.il.'}"
,
"('relay3.huji.ac.il.', 'moodle2.cs.huji.ac.il')","{'moo-05.cs.huji.ac.il.', 'e-shuldig.cs.huji.ac.il.'}"
,
"('relay4.huji.ac.il.', 'moodle2.cs.huji.ac.il')","{'moo-05.cs.huji.ac.il.', 'e-shuldig.cs.huji.ac.il.'}"
,
"('e-shuldig.cs.huji.ac.il.', 'moodle2.cs.huji.ac.il')","{'moo-05.cs.huji.ac.il.', 'e-shuldig.cs.huji.ac.il.'}"
,
"('relay2.huji.ac.il.', 'moodle2.cs.huji.ac.il')","{'moo-05.cs.huji.ac.il.', 'e-shuldig.cs.huji.ac.il.'}"
,
"('g.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('i.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('d.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('j.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('l.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('m.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('e.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('h.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('a.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('k.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('f.root-servers.net', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('g.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('i.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('f.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('m.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('d.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('c.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('e.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('b.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('a.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('j.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('k.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('l.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('h.gtld-servers.net.', 'net')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('g.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('i.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('f.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('m.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('d.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('c.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('e.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('b.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('a.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('j.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('k.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('l.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('h.gtld-servers.net.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('ns2.digitalocean.com.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('ns3.digitalocean.com.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
,
"('ns1.digitalocean.com.', 'packetlife.net')","{'ns2.digitalocean.com.', 'ns3.digitalocean.com.', 'ns1.digitalocean.com.'}"
