Application Name,Application ID
a.root-servers.net,"DNS information
Domain: Root Domain
Host: a.root-servers.net
IPv4 Addresses: 198.41.0.4 
IPv6 Addresses :2001:503:ba3e::2:30 
Description: VeriSign Inc."
b.root-servers.net,"DNS information
Domain: Root Domain
Host: b.root-servers.net
IPv4 Addresses: 199.9.14.20 
IPv6 Addresses :2001:500:200::b 
Description: University of Southern California (ISI)"
c.root-servers.net,"DNS information
Domain: Root Domain
Host: c.root-servers.net
IPv4 Addresses: 192.33.4.1 
IPv6 Addresses :2001:500:2::c 
Description: Cogent Communications"
d.root-servers.net,"DNS information
Domain: Root Domain
Host: d.root-servers.net
IPv4 Addresses: 199.7.91.13 
IPv6 Addresses :2001:500:2d::d 
Description: University of Maryland"
e.root-servers.net,"DNS information
Domain: Root Domain
Host: e.root-servers.net
IPv4 Addresses: 192.203.230.10 
IPv6 Addresses :2001:500:a8::e 
Description: NASA (Ames Research Center)"
f.root-servers.net,"DNS information
Domain: Root Domain
Host: f.root-servers.net
IPv4 Addresses: 192.5.5.241 
IPv6 Addresses :2001:500:2f::f 
Description: Internet Systems Consortium Inc."
g.root-servers.net,"DNS information
Domain: Root Domain
Host: g.root-servers.net
IPv4 Addresses: 192.112.36.4 
IPv6 Addresses :2001:500:12::d0d 
Description: US Department of Defense (NIC)"
h.root-servers.net,"DNS information
Domain: Root Domain
Host: h.root-servers.net
IPv4 Addresses: 198.97.190.53 
IPv6 Addresses :2001:500:1::53 
Description: US Army (Research Lab)"
i.root-servers.net,"DNS information
Domain: Root Domain
Host: i.root-servers.net
IPv4 Addresses: 192.36.148.17 
IPv6 Addresses :2001:7fe::53 
Description: Netnod"
j.root-servers.net,"DNS information
Domain: Root Domain
Host: j.root-servers.net
IPv4 Addresses: 192.58.128.30 
IPv6 Addresses :2001:503:c27::2:30 
Description: VeriSign Inc."
k.root-servers.net,"DNS information
Domain: Root Domain
Host: k.root-servers.net
IPv4 Addresses: 193.0.14.129 
IPv6 Addresses :2001:7fd::1 
Description: RIPE NCC"
l.root-servers.net,"DNS information
Domain: Root Domain
Host: l.root-servers.net
IPv4 Addresses: 199.7.83.42 
IPv6 Addresses :2001:500:9f::42 
Description: ICANN"
m.root-servers.net,"DNS information
Domain: Root Domain
Host: m.root-servers.net
IPv4 Addresses: 202.12.27.33 
IPv6 Addresses :2001:dc3::35 
Description: WIDE Project"
ilns.ilan.net.il.,"DNS information
Domain: il
Host: ilns.ilan.net.il.
IPv4 Addresses: 128.139.35.5 
IPv6 Addresses : No information
Description: Name server for domain ""il"""
ns1.ns.il.,"DNS information
Domain: il
Host: ns1.ns.il.
IPv4 Addresses: 194.146.106.122 
IPv6 Addresses :2001:67c:1010:31::53 
Description: Name server for domain ""il"""
lookup.iucc.ac.il.,"DNS information
Domain: il
Host: lookup.iucc.ac.il.
IPv4 Addresses: 128.139.34.240 
IPv6 Addresses :2001:bf8:900:6::808b:22f0 
Description: Name server for domain ""il"""
nsa.ns.il.,"DNS information
Domain: il
Host: nsa.ns.il.
IPv4 Addresses: 192.115.7.53 
IPv6 Addresses : No information
Description: Name server for domain ""il"""
nsb.ns.il.,"DNS information
Domain: il
Host: nsb.ns.il.
IPv4 Addresses: 192.115.7.60 
IPv6 Addresses : No information
Description: Name server for domain ""il"""
ns2.ns.il.,"DNS information
Domain: il
Host: ns2.ns.il.
IPv4 Addresses: 162.88.57.1 
IPv6 Addresses :2600:2000:3005::1 
Description: Name server for domain ""il"""
sns-pb.isc.org.,"DNS information
Domain: il
Host: sns-pb.isc.org.
IPv4 Addresses: 192.5.4.1 
IPv6 Addresses :2001:500:2e::1 
Description: Name server for domain ""il"""
ns3.ns.il.,"DNS information
Domain: il
Host: ns3.ns.il.
IPv4 Addresses: 194.0.11.103 
IPv6 Addresses :2001:678:e:103::53 
Description: Name server for domain ""il"""
nse.ns.il.,"DNS information
Domain: il
Host: nse.ns.il.
IPv4 Addresses: 192.115.141.253 
IPv6 Addresses : No information
Description: Name server for domain ""il"""
ns-1086.awsdns-07.org.,"DNS information
Domain: walla.co.il
Host: ns-1086.awsdns-07.org.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""walla.co.il"""
ns-1595.awsdns-07.co.uk.,"DNS information
Domain: walla.co.il
Host: ns-1595.awsdns-07.co.uk.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""walla.co.il"""
ns-104.awsdns-13.com.,"DNS information
Domain: walla.co.il
Host: ns-104.awsdns-13.com.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""walla.co.il"""
ns-992.awsdns-60.net.,"DNS information
Domain: walla.co.il
Host: ns-992.awsdns-60.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""walla.co.il"""
a.gtld-servers.net.,"DNS information
Domain: com
Host: a.gtld-servers.net.
IPv4 Addresses: 192.5.6.30 
IPv6 Addresses :2001:503:a83e::2:30 
Description: Name server for domain ""com"""
c.gtld-servers.net.,"DNS information
Domain: com
Host: c.gtld-servers.net.
IPv4 Addresses: 192.26.92.30 
IPv6 Addresses :2001:503:83eb::30 
Description: Name server for domain ""com"""
h.gtld-servers.net.,"DNS information
Domain: com
Host: h.gtld-servers.net.
IPv4 Addresses: 192.54.112.30 
IPv6 Addresses :2001:502:8cc::30 
Description: Name server for domain ""com"""
l.gtld-servers.net.,"DNS information
Domain: com
Host: l.gtld-servers.net.
IPv4 Addresses: 192.41.162.30 
IPv6 Addresses :2001:500:d937::30 
Description: Name server for domain ""com"""
m.gtld-servers.net.,"DNS information
Domain: com
Host: m.gtld-servers.net.
IPv4 Addresses: 192.55.83.30 
IPv6 Addresses :2001:501:b1f9::30 
Description: Name server for domain ""com"""
k.gtld-servers.net.,"DNS information
Domain: com
Host: k.gtld-servers.net.
IPv4 Addresses: 192.52.178.30 
IPv6 Addresses :2001:503:d2d::30 
Description: Name server for domain ""com"""
i.gtld-servers.net.,"DNS information
Domain: com
Host: i.gtld-servers.net.
IPv4 Addresses: 192.43.172.30 
IPv6 Addresses :2001:503:39c1::30 
Description: Name server for domain ""com"""
f.gtld-servers.net.,"DNS information
Domain: com
Host: f.gtld-servers.net.
IPv4 Addresses: 192.35.51.30 
IPv6 Addresses :2001:503:d414::30 
Description: Name server for domain ""com"""
b.gtld-servers.net.,"DNS information
Domain: com
Host: b.gtld-servers.net.
IPv4 Addresses: 192.33.14.30 
IPv6 Addresses :2001:503:231d::2:30 
Description: Name server for domain ""com"""
d.gtld-servers.net.,"DNS information
Domain: com
Host: d.gtld-servers.net.
IPv4 Addresses: 192.31.80.30 
IPv6 Addresses :2001:500:856e::30 
Description: Name server for domain ""com"""
e.gtld-servers.net.,"DNS information
Domain: com
Host: e.gtld-servers.net.
IPv4 Addresses: 192.12.94.30 
IPv6 Addresses :2001:502:1ca1::30 
Description: Name server for domain ""com"""
j.gtld-servers.net.,"DNS information
Domain: com
Host: j.gtld-servers.net.
IPv4 Addresses: 192.48.79.30 
IPv6 Addresses :2001:502:7094::30 
Description: Name server for domain ""com"""
g.gtld-servers.net.,"DNS information
Domain: com
Host: g.gtld-servers.net.
IPv4 Addresses: 192.42.93.30 
IPv6 Addresses :2001:503:eea3::30 
Description: Name server for domain ""com"""
ns2.google.com.,"DNS information
Domain: google.com
Host: ns2.google.com.
IPv4 Addresses: 216.239.34.10 
IPv6 Addresses :2001:4860:4802:34::a 
Description: Name server for domain ""google.com"""
ns1.google.com.,"DNS information
Domain: google.com
Host: ns1.google.com.
IPv4 Addresses: 216.239.32.10 
IPv6 Addresses :2001:4860:4802:32::a 
Description: Name server for domain ""google.com"""
ns3.google.com.,"DNS information
Domain: google.com
Host: ns3.google.com.
IPv4 Addresses: 216.239.36.10 
IPv6 Addresses :2001:4860:4802:36::a 
Description: Name server for domain ""google.com"""
ns4.google.com.,"DNS information
Domain: google.com
Host: ns4.google.com.
IPv4 Addresses: 216.239.38.10 
IPv6 Addresses :2001:4860:4802:38::a 
Description: Name server for domain ""google.com"""
ns76.jetserver.net.,"DNS information
Domain: aguda.org.il
Host: ns76.jetserver.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""aguda.org.il"""
ns75.jetserver.net.,"DNS information
Domain: aguda.org.il
Host: ns75.jetserver.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""aguda.org.il"""
d0.org.afilias-nst.org.,"DNS information
Domain: org
Host: d0.org.afilias-nst.org.
IPv4 Addresses: 199.19.57.1 
IPv6 Addresses :2001:500:f::1 
Description: Name server for domain ""org"""
c0.org.afilias-nst.info.,"DNS information
Domain: org
Host: c0.org.afilias-nst.info.
IPv4 Addresses: 199.19.53.1 
IPv6 Addresses :2001:500:b::1 
Description: Name server for domain ""org"""
a2.org.afilias-nst.info.,"DNS information
Domain: org
Host: a2.org.afilias-nst.info.
IPv4 Addresses: 199.249.112.1 
IPv6 Addresses :2001:500:40::1 
Description: Name server for domain ""org"""
b0.org.afilias-nst.org.,"DNS information
Domain: org
Host: b0.org.afilias-nst.org.
IPv4 Addresses: 199.19.54.1 
IPv6 Addresses :2001:500:c::1 
Description: Name server for domain ""org"""
a0.org.afilias-nst.info.,"DNS information
Domain: org
Host: a0.org.afilias-nst.info.
IPv4 Addresses: 199.19.56.1 
IPv6 Addresses :2001:500:e::1 
Description: Name server for domain ""org"""
b2.org.afilias-nst.org.,"DNS information
Domain: org
Host: b2.org.afilias-nst.org.
IPv4 Addresses: 199.249.120.1 
IPv6 Addresses :2001:500:48::1 
Description: Name server for domain ""org"""
ns3.p11.dynect.net.,"DNS information
Domain: python.org
Host: ns3.p11.dynect.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""python.org"""
ns2.p11.dynect.net.,"DNS information
Domain: python.org
Host: ns2.p11.dynect.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""python.org"""
ns1.p11.dynect.net.,"DNS information
Domain: python.org
Host: ns1.p11.dynect.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""python.org"""
ns4.p11.dynect.net.,"DNS information
Domain: python.org
Host: ns4.p11.dynect.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""python.org"""
relay2.huji.ac.il.,"DNS information
Domain: huji.ac.il
Host: relay2.huji.ac.il.
IPv4 Addresses: 128.139.6.66 
IPv6 Addresses : No information
Description: Name server for domain ""huji.ac.il"""
relay3.huji.ac.il.,"DNS information
Domain: huji.ac.il
Host: relay3.huji.ac.il.
IPv4 Addresses: 128.139.6.11 
IPv6 Addresses : No information
Description: Name server for domain ""huji.ac.il"""
ns.openu.ac.il.,"DNS information
Domain: huji.ac.il
Host: ns.openu.ac.il.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""huji.ac.il"""
relay4.huji.ac.il.,"DNS information
Domain: huji.ac.il
Host: relay4.huji.ac.il.
IPv4 Addresses: 132.64.9.222 
IPv6 Addresses : No information
Description: Name server for domain ""huji.ac.il"""
e-shuldig.cs.huji.ac.il.,"DNS information
Domain: cs.huji.ac.il
Host: e-shuldig.cs.huji.ac.il.
IPv4 Addresses: 132.65.116.8 
IPv6 Addresses : No information
Description: Name server for domain ""cs.huji.ac.il"""
moo-05.cs.huji.ac.il.,"DNS information
Domain: moodle2.cs.huji.ac.il
Host: moo-05.cs.huji.ac.il.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""moodle2.cs.huji.ac.il"""
ns1.digitalocean.com.,"DNS information
Domain: packetlife.net
Host: ns1.digitalocean.com.
IPv4 Addresses: 173.245.58.51 
IPv6 Addresses :2400:cb00:2049:1::adf5:3a33 
Description: Name server for domain ""packetlife.net"""
ns2.digitalocean.com.,"DNS information
Domain: packetlife.net
Host: ns2.digitalocean.com.
IPv4 Addresses: 173.245.59.41 
IPv6 Addresses :2400:cb00:2049:1::adf5:3b29 
Description: Name server for domain ""packetlife.net"""
ns3.digitalocean.com.,"DNS information
Domain: packetlife.net
Host: ns3.digitalocean.com.
IPv4 Addresses: 198.41.222.173 
IPv6 Addresses :2400:cb00:2049:1::c629:dead 
Description: Name server for domain ""packetlife.net"""
