"(Server Name, Domain)",Servers known in domain
"('k.root-servers.net', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('e.root-servers.net', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('i.root-servers.net', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('c.root-servers.net', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('d.root-servers.net', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('h.root-servers.net', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('a.root-servers.net', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('b.root-servers.net', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('j.root-servers.net', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('g.root-servers.net', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('l.root-servers.net', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('m.root-servers.net', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('f.root-servers.net', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('l.gtld-servers.net.', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('h.gtld-servers.net.', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('k.gtld-servers.net.', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('e.gtld-servers.net.', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('f.gtld-servers.net.', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('m.gtld-servers.net.', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('b.gtld-servers.net.', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('d.gtld-servers.net.', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('g.gtld-servers.net.', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('a.gtld-servers.net.', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('i.gtld-servers.net.', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('j.gtld-servers.net.', 'com')","{'h.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('c.gtld-servers.net.', 'com')","{'l.gtld-servers.net.', 'h.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.', 'a.gtld-servers.net.', 'i.gtld-servers.net.', 'j.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('l.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('h.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('k.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('e.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('f.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('m.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('b.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('d.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('g.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('a.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('i.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('j.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('c.gtld-servers.net.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('f.ns.apple.com.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'nserver6.apple.com.', 'nserver5.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('b.ns.apple.com.', 'apple.com')","{'f.ns.apple.com.', 'nserver6.apple.com.', 'b.ns.apple.com.', 'nserver5.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('e.ns.apple.com.', 'apple.com')","{'f.ns.apple.com.', 'nserver6.apple.com.', 'b.ns.apple.com.', 'nserver5.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('a.ns.apple.com.', 'apple.com')","{'f.ns.apple.com.', 'nserver6.apple.com.', 'b.ns.apple.com.', 'nserver5.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('c.ns.apple.com.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'nserver6.apple.com.', 'nserver5.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
"('d.ns.apple.com.', 'apple.com')","{'f.ns.apple.com.', 'b.ns.apple.com.', 'nserver6.apple.com.', 'nserver5.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.', 'c.ns.apple.com.', 'd.ns.apple.com.'}"
